timestamp,nl_query,expected_sql,generated_sql,score,notes
2026-04-13T09:56:09.318615,count users,SELECT COUNT(*) FROM users;,SELECT COUNT(*) FROM users;,1.0,
2026-04-13T09:56:09.324281,sales in jan,SELECT sales FROM sales_data WHERE month = 'Jan';,SELECT sales FROM sales_data WHERE month = 'Jan';,1.0,
2026-04-13T09:56:09.329694,sales in march,SELECT sales FROM sales_data WHERE month = 'Mar';,SELECT sales FROM sales_data WHERE month = 'Mar';,1.0,
2026-04-13T09:56:09.335520,what is the sum of sales,SELECT SUM(sales) FROM sales_data;,SELECT SUM(sales) FROM sales_data;,1.0,
2026-04-13T09:56:09.341327,total sales,SELECT SUM(sales) FROM sales_data;,SELECT SUM(sales) FROM sales_data;,1.0,
2026-04-13T09:56:09.346952,count users,SELECT COUNT(*) FROM users;,SELECT COUNT(*) FROM users;,1.0,
2026-04-13T09:56:09.352766,sales in jan,SELECT sales FROM sales_data WHERE month = 'Jan';,SELECT sales FROM sales_data WHERE month = 'Jan';,1.0,
2026-04-13T09:56:09.358022,sales in march,SELECT sales FROM sales_data WHERE month = 'Mar';,SELECT sales FROM sales_data WHERE month = 'Mar';,1.0,
2026-04-13T09:56:09.363864,what is the sum of sales,SELECT SUM(sales) FROM sales_data;,SELECT SUM(sales) FROM sales_data;,1.0,
2026-04-13T09:56:09.370317,total sales,SELECT SUM(sales) FROM sales_data;,SELECT SUM(sales) FROM sales_data;,1.0,
2026-04-13T09:56:09.375317,count users,SELECT COUNT(*) FROM users;,SELECT COUNT(*) FROM users;,1.0,
2026-04-13T09:56:09.381961,sales in jan,SELECT sales FROM sales_data WHERE month = 'Jan';,SELECT sales FROM sales_data WHERE month = 'Jan';,1.0,
2026-04-13T09:56:09.386043,sales in march,SELECT sales FROM sales_data WHERE month = 'Mar';,SELECT sales FROM sales_data WHERE month = 'Mar';,1.0,
2026-04-13T09:56:09.391099,what is the sum of sales,SELECT SUM(sales) FROM sales_data;,SELECT SUM(sales) FROM sales_data;,1.0,
2026-04-13T09:56:09.395019,total sales,SELECT SUM(sales) FROM sales_data;,SELECT SUM(sales) FROM sales_data;,1.0,
2026-04-13T09:56:09.399263,count users,SELECT COUNT(*) FROM users;,SELECT COUNT(*) FROM users;,1.0,
2026-04-13T09:56:09.403068,sales in jan,SELECT sales FROM sales_data WHERE month = 'Jan';,SELECT sales FROM sales_data WHERE month = 'Jan';,1.0,
2026-04-13T09:56:09.407143,sales in march,SELECT sales FROM sales_data WHERE month = 'Mar';,SELECT sales FROM sales_data WHERE month = 'Mar';,1.0,
2026-04-13T09:56:09.412107,what is the sum of sales,SELECT SUM(sales) FROM sales_data;,SELECT SUM(sales) FROM sales_data;,1.0,
2026-04-13T09:56:09.416205,total sales,SELECT SUM(sales) FROM sales_data;,SELECT SUM(sales) FROM sales_data;,1.0,
2026-04-13T09:56:09.420997,count users,SELECT COUNT(*) FROM users;,SELECT COUNT(*) FROM users;,1.0,
2026-04-13T09:56:09.426861,sales in jan,SELECT sales FROM sales_data WHERE month = 'Jan';,SELECT sales FROM sales_data WHERE month = 'Jan';,1.0,
2026-04-13T09:56:09.431941,sales in march,SELECT sales FROM sales_data WHERE month = 'Mar';,SELECT sales FROM sales_data WHERE month = 'Mar';,1.0,
2026-04-13T09:56:09.437935,what is the sum of sales,SELECT SUM(sales) FROM sales_data;,SELECT SUM(sales) FROM sales_data;,1.0,
2026-04-13T09:56:09.443398,total sales,SELECT SUM(sales) FROM sales_data;,SELECT SUM(sales) FROM sales_data;,1.0,
2026-04-13T09:56:09.450303,count users,SELECT COUNT(*) FROM users;,SELECT COUNT(*) FROM users;,1.0,
2026-04-13T09:56:09.456027,sales in jan,SELECT sales FROM sales_data WHERE month = 'Jan';,SELECT sales FROM sales_data WHERE month = 'Jan';,1.0,
2026-04-13T09:56:09.461768,sales in march,SELECT sales FROM sales_data WHERE month = 'Mar';,SELECT sales FROM sales_data WHERE month = 'Mar';,1.0,
2026-04-13T09:56:09.467188,what is the sum of sales,SELECT SUM(sales) FROM sales_data;,SELECT SUM(sales) FROM sales_data;,1.0,
